port_name,ref_date,feat_mean_queue_length,feat_max_queue_length,feat_mean_berth_count,feat_max_berth_count,feat_arrival_count,feat_departure_count,feat_mean_port_vessels,feat_service_rate,feat_p95_waiting_hours,feat_p50_waiting_hours,feat_mean_waiting_hours,feat_p95_service_hours,feat_mean_service_hours,feat_n_visits,feat_n_wait_visits,feat_n_direct_visits,feat_mean_gross_tonnage,feat_pct_waiting,feat_queue_to_berth_ratio,feat_p95_waiting_hours_lag1w,feat_p95_waiting_hours_lag2w,feat_p95_waiting_hours_lag4w,feat_mean_waiting_hours_lag1w,feat_mean_waiting_hours_lag2w,feat_mean_waiting_hours_lag4w,feat_mean_queue_length_lag1w,feat_mean_queue_length_lag2w,feat_mean_queue_length_lag4w,feat_n_visits_lag1w,feat_n_visits_lag2w,feat_n_visits_lag4w,feat_mean_berth_count_lag1w,feat_mean_berth_count_lag2w,feat_mean_berth_count_lag4w,feat_service_rate_lag1w,feat_service_rate_lag2w,feat_service_rate_lag4w,feat_p95_waiting_hours_roll4w_mean,feat_p95_waiting_hours_roll4w_std,feat_p95_waiting_hours_roll8w_mean,feat_p95_waiting_hours_roll8w_std,feat_mean_queue_length_roll4w_mean,feat_mean_queue_length_roll4w_std,feat_mean_queue_length_roll8w_mean,feat_mean_queue_length_roll8w_std,feat_n_visits_roll4w_mean,feat_n_visits_roll4w_std,feat_n_visits_roll8w_mean,feat_n_visits_roll8w_std,feat_service_rate_roll4w_mean,feat_service_rate_roll4w_std,feat_service_rate_roll8w_mean,feat_service_rate_roll8w_std,feat_p95_waiting_change_1w,feat_queue_length_change_1w,feat_consecutive_high_days,feat_high_pct_4w,feat_waiting_trend_4w,feat_week_of_year,feat_month,feat_quarter,feat_day_of_week,target_p95_waiting_1w,target_p95_waiting_2w,target_p95_waiting_4w,macro_gscpi,macro_bdi_weekly,macro_fbx_weekly,macro_ism_pmi,macro_us_imports_goods,macro_us_exports_goods,macro_us_trade_balance
HOUSTON,2022-02-26,21.18913855820106,30,9.299829695767194,15,75,76,34.490593584656075,1.0133333333333334,147.82722222222222,0.0,25.620688405797104,142.67583333333334,61.81094202898551,23,10,13,49538.565217391304,0.43478260869565216,2.2784437190118942,244.0575,32.19361111111111,29.891944444444444,51.77694444444444,4.869507042253521,9.504461805555556,17.373753306878307,13.836519510582008,8.883207671957672,47,71,32,9.09776455026455,6.873799603174604,10.60205357142857,0.9626168224299065,1.0442477876106195,1.1111111111111112,119.96780753968255,80.52496518766544,115.98865575396826,58.69447094521951,15.838973450491308,3.371467768506477,12.34664986654384,4.520312574231503,52.392857142857146,20.21246275923969,41.82142857142857,18.231947128705045,0.973341967836936,0.09809415003838289,0.9277456970665551,0.19074568709378834,-96.23027777777779,3.815385251322752,14,0.75,29.483819444444443,8,2,1,6,147.90583333333333,98.31416666666667,280.6138888888889,4.487952923,1964.0,9628.216211,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-26,13.867126322751322,21,30.059363425925923,42,75,74,49.32002810846561,0.9866666666666667,91.3,0.0,15.968582375478928,192.7111111111111,88.43783524904214,58,7,51,69445.10909090909,0.1206896551724138,0.46132468363555074,115.32972222222222,31.95277777777778,37.99944444444444,23.322247023809524,11.348601364522418,6.859897959183673,12.29819775132275,11.455585317460315,14.075279431216932,56,57,49,24.90520171957672,19.70137566137566,26.24206845238095,0.7323943661971831,1.139240506329114,1.2181818181818183,108.75747023809525,51.7083753503154,86.47480158730158,47.32788342346864,12.639990610827665,1.0948587222284814,12.684187541335977,2.5723260790357667,56.5,6.460707448936306,50.285714285714285,12.439985801971275,0.9873859811429825,0.17051722341048034,0.9100575709956905,0.2935382401553862,-24.02972222222222,1.5689285714285717,9,0.75,13.325138888888889,8,2,1,6,0.0,232.7302777777778,68.69111111111111,4.487952923,1964.0,9628.216211,57.4,263200.0,158136.0,-105064.0
NEW_YORK_NEW_JERSEY,2022-02-26,0.43003968253968244,3,14.57361607142857,26,63,61,16.624295634920635,0.9682539682539683,0.0,0.0,0.0,110.86888888888889,38.45147979797979,55,0,55,61856.472727272725,0.0,0.02950809740231671,0.0,0.0,0.0,0.1631235827664399,0.1494040404040404,0.0,0.3051355820105819,1.036322751322751,0.14087301587301584,49,55,51,12.649472552910053,12.042519841269842,13.67925595238095,0.9655172413793104,1.1363636363636365,0.9473684210526315,0.0,2.8097899007262688e-8,0.10536210317460318,0.7884577832585845,0.45326879015495075,0.28800804782869577,0.448459230914588,0.344599155555645,53.17857142857143,5.113914000265984,51.214285714285715,12.512850537404681,0.9912215193941025,0.0741957995705266,0.9365565664752833,0.1796892451682034,0.0,0.12490410052910056,0,0.0,0.0,8,2,1,6,0.0,0.0,0.0,4.487952923,1964.0,9628.216211,57.4,263200.0,158136.0,-105064.0
PORT_OF_VIRGINIA,2022-02-26,16.07724206349206,20,14.541162367724866,25,106,109,33.77097883597883,1.028301886792453,86.55083333333333,0.0,14.567432432432433,103.54055555555556,43.67727477477477,37,6,31,71148.30555555556,0.16216216216216217,1.105636651109586,107.88638888888889,179.70333333333335,200.65583333333333,20.355690883190885,26.11582465277778,35.95411522633745,16.950064484126983,15.279489087301585,20.589768518518518,39,64,27,12.788892195767197,14.73261574074074,11.16640873015873,0.9896907216494846,0.9848484848484849,1.0,128.6288392857143,66.37365349272568,121.3794494047619,70.87575802615025,18.028859835600908,2.7306264500453308,15.561562529525698,4.496201188426799,43.285714285714285,13.114473607027389,40.535714285714285,13.7668432847176,1.0025404817101102,0.028261503401515668,0.9444955677197919,0.14954343837774672,-21.33555555555556,-0.8728224206349218,17,0.9285714285714285,-28.52625,8,2,1,6,36.25083333333333,244.29972222222221,59.459722222222226,4.487952923,1964.0,9628.216211,57.4,263200.0,158136.0,-105064.0
HOUSTON,2022-02-27,21.276975859788358,30,8.944368386243385,15,77,78,34.322571097883596,1.0129870129870129,147.82722222222222,16.56972222222222,32.363019323671494,142.67583333333334,58.76278985507246,23,13,10,48146.04347826087,0.5652173913043478,2.378812560148212,244.0575,106.7311111111111,29.3275,44.69042181069958,17.235642764857882,7.0715674603174605,18.265233134920635,14.041162367724866,8.721286375661373,27,86,42,9.39829365079365,6.829927248677249,9.246757605820106,0.948051948051948,0.9753086419753086,1.162962962962963,124.17978174603175,78.70268385110317,116.17045634920635,58.77848038545877,16.278470982142856,3.2302770523586615,12.688481463766061,4.450499103658467,52.07142857142857,20.61629806807581,41.92857142857143,18.100584764895547,0.9698499043448725,0.09468935714081037,0.9415305903342069,0.1666078992896654,-96.23027777777779,3.011742724867723,15,0.7857142857142857,29.624930555555554,8,2,1,7,147.90583333333333,98.31416666666667,280.6138888888889,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-27,13.901939484126983,22,29.764236111111106,42,70,72,49.1606498015873,1.0285714285714285,91.3,0.0,17.151440329218108,188.6327777777778,84.86213477366255,54,7,47,65954.33333333333,0.12962962962962962,0.4670685796279292,115.32972222222222,42.948055555555555,36.43611111111111,20.779322033898307,12.636060606060607,5.426316137566137,12.826764219576718,10.866210317460316,13.345142195767195,59,55,42,26.7631746031746,19.095826719576717,25.40776124338624,0.7532467532467533,1.1466666666666667,1.3125,110.66106150793651,49.95850751619403,85.55196428571428,46.705839554222834,12.632556571239608,1.0854182061984285,12.886588394038169,2.1741434594863644,56.82142857142857,6.295522050124057,51.125,11.27194828686764,0.9791175828745843,0.16441533603006003,0.9247964342829409,0.275420665560822,-24.02972222222222,1.0751752645502641,10,0.7857142857142857,13.715972222222222,8,2,1,7,5.988611111111111,232.7302777777778,68.69111111111111,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
NEW_YORK_NEW_JERSEY,2022-02-27,0.3916087962962962,3,14.60150462962963,26,64,66,16.679189814814816,1.03125,0.0,0.0,0.0,111.38305555555556,37.96404214559387,58,0,58,62002.58620689655,0.0,0.0268197563353599,0.0,0.0,0.0,0.17006501182033096,0.0,0.0,0.3435664682539682,0.9703968253968251,0.14087301587301584,47,54,45,12.592929894179893,11.367425595238094,14.135530753968254,0.9821428571428571,1.0454545454545454,0.9019607843137255,0.0,2.8097899007262688e-8,0.10536210317460318,0.7884577832585845,0.4635961711073317,0.28150227279567946,0.45613851095993946,0.33917260270328164,53.32142857142857,5.106666459447137,52.125,10.745083442292026,0.9919674317941504,0.07384274722482458,0.9502753873369613,0.14916750661871497,0.0,0.048042328042328,0,0.0,0.0,8,2,1,7,0.0,0.0,0.0,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
PORT_OF_VIRGINIA,2022-02-27,16.218662367724868,20,14.351097883597882,25,110,110,33.316729497354494,1.0,106.1275,0.0,22.766878654970764,103.54055555555556,44.58111111111111,38,7,31,72740.75675675676,0.18421052631578946,1.1301339102607235,107.88638888888889,179.70333333333335,200.65583333333333,21.4559984984985,26.11582465277778,34.7885101010101,16.97707671957672,14.904165013227514,21.12023974867725,37,64,22,12.729624669312166,14.872686838624338,10.450749007936508,1.0101010101010102,1.0238095238095237,1.01,124.55366071428571,65.28148259021174,122.55785218253969,69.70799912934251,17.867698176492816,2.70694562230721,15.817361760676492,4.084964507723739,43.642857142857146,12.786608404786408,41.142857142857146,12.79691521270025,1.003551263381269,0.02867043155376926,0.9559899695443823,0.1290621475582799,-1.7588888888888903,-0.7584143518518509,18,0.9285714285714285,-23.632083333333334,8,2,1,7,87.0275,26.17,59.459722222222226,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
HOUSTON,2022-02-28,21.35568287037037,30,8.43816798941799,15,69,78,33.68820271164021,1.1304347826086956,147.82722222222222,18.264722222222222,39.045700483091785,142.67583333333334,59.45814009661836,23,14,9,45313.34782608696,0.6086956521739131,2.530843531101986,244.0575,106.7311111111111,81.00722222222223,45.30411522633745,17.235642764857882,10.427908163265306,18.646109457671955,14.722217261904763,9.13755787037037,27,86,49,9.860667989417989,6.923819444444444,7.942546296296296,0.8701298701298701,0.9652173913043478,0.98125,128.41191468253967,76.57041676497268,116.35225694444445,58.8617982100811,16.72688846371882,3.0060460478123776,13.004434080924037,4.420315638332102,51.392857142857146,21.262624634536696,41.964285714285715,18.060468418081506,0.96449362041716,0.08731570020625844,0.9536672631851655,0.1448293006748028,-96.23027777777779,2.709573412698415,16,0.8214285714285714,16.705,9,2,1,1,147.90583333333333,94.64361111111111,287.38194444444446,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-28,13.687417328042326,22,29.68253141534391,41,66,72,48.66567625661375,1.0909090909090908,31.689722222222223,0.0,7.833366013071895,192.40583333333333,86.10672113289759,51,5,46,67804.59183673469,0.09803921568627451,0.46112702237272235,191.9986111111111,42.948055555555555,149.9127777777778,27.145630511463846,13.169012896825397,18.13798611111111,13.049214616402116,10.895537367724868,12.20464451058201,63,56,56,28.45379133597884,18.38126488095238,22.693955026455026,0.7710843373493976,1.0666666666666667,1.1805555555555556,112.6204861111111,47.97608299405638,85.07594742063493,46.5049787531932,12.652442188681027,1.1038999027479586,13.042936744142098,1.9056446955540849,57.25,5.621552441439303,51.785714285714285,10.275680531702537,0.9689772767521353,0.1513271655210707,0.9379373003854795,0.2619382792274317,-160.30888888888887,0.6382027116402096,0,0.8214285714285714,-29.55576388888889,9,2,1,1,36.60388888888889,232.7302777777778,68.69111111111111,4.487952923,2076.0,9745.236328,57.4,263200.0,158136.0,-105064.0
