port_name,ref_date,feat_mean_queue_length,feat_max_queue_length,feat_mean_berth_count,feat_max_berth_count,feat_arrival_count,feat_departure_count,feat_mean_port_vessels,feat_service_rate,feat_p95_waiting_hours,feat_p50_waiting_hours,feat_mean_waiting_hours,feat_p95_service_hours,feat_mean_service_hours,feat_n_visits,feat_n_wait_visits,feat_n_direct_visits,feat_mean_gross_tonnage,feat_pct_waiting,feat_queue_to_berth_ratio,feat_p95_waiting_hours_lag1w,feat_p95_waiting_hours_lag2w,feat_p95_waiting_hours_lag4w,feat_mean_waiting_hours_lag1w,feat_mean_waiting_hours_lag2w,feat_mean_waiting_hours_lag4w,feat_mean_queue_length_lag1w,feat_mean_queue_length_lag2w,feat_mean_queue_length_lag4w,feat_n_visits_lag1w,feat_n_visits_lag2w,feat_n_visits_lag4w,feat_mean_berth_count_lag1w,feat_mean_berth_count_lag2w,feat_mean_berth_count_lag4w,feat_service_rate_lag1w,feat_service_rate_lag2w,feat_service_rate_lag4w,feat_p95_waiting_hours_roll4w_mean,feat_p95_waiting_hours_roll4w_std,feat_p95_waiting_hours_roll8w_mean,feat_p95_waiting_hours_roll8w_std,feat_mean_queue_length_roll4w_mean,feat_mean_queue_length_roll4w_std,feat_mean_queue_length_roll8w_mean,feat_mean_queue_length_roll8w_std,feat_n_visits_roll4w_mean,feat_n_visits_roll4w_std,feat_n_visits_roll8w_mean,feat_n_visits_roll8w_std,feat_service_rate_roll4w_mean,feat_service_rate_roll4w_std,feat_service_rate_roll8w_mean,feat_service_rate_roll8w_std,feat_p95_waiting_change_1w,feat_queue_length_change_1w,feat_consecutive_high_days,feat_high_pct_4w,feat_waiting_trend_4w,feat_week_of_year,feat_month,feat_quarter,feat_day_of_week,target_p95_waiting_1w,target_p95_waiting_2w,macro_gscpi,macro_bdi_weekly,macro_ism_pmi,macro_us_imports_goods,macro_us_exports_goods,macro_us_trade_balance
HOUSTON,2022-02-26,7.8036375661375645,11,1.5892675264550262,3,23,25,10.93314484126984,1.0869565217391304,0.0,0.0,0.0,142.67583333333334,115.50541666666666,2,0,2,33591.0,0.0,4.910210166783015,329.565,27.997222222222224,41.576388888888886,51.446875,5.858925925925926,12.528090277777778,5.361286375661376,5.237848875661376,3.3450066137566137,8,15,8,2.7839732142857145,1.3976934523809523,4.0084540343915345,0.9473684210526315,1.025,1.1,58.334513888888885,97.71958170916852,63.071334325396826,74.15930427565596,5.040680213057445,1.4274326972496654,3.7733782419217685,1.7178604783843456,12.035714285714286,6.697053762702602,9.5,5.65363921413777,0.9812027993447628,0.0970466599963694,0.9339905028985046,0.16640453649321948,-329.565,2.442351190476189,0,0.25,-10.394097222222221,8,2,1,6,0.0,27.6825,4.487952923,1964.0,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-26,8.10219246031746,11,4.167007275132275,6,14,14,12.899522156084654,1.0,263.6063888888889,0.0,52.72127777777778,134.00972222222222,65.52877777777778,5,1,4,26912.0,0.2,1.944367246169559,209.06277777777777,142.46333333333334,33.99,73.04964285714286,18.275,12.138402777777777,7.617485119047618,6.7358134920634924,5.535499338624338,7,9,4,2.5232589285714284,3.178263888888889,2.33031746031746,1.0,0.9,1.2222222222222223,174.59071428571428,68.31009572892334,131.73376984126983,73.38490409080812,6.791898856764928,0.8948202685599624,5.670525616496598,1.7902232727189946,7.214285714285714,2.5291946142646666,7.035714285714286,3.0028125344222065,0.9471504662471049,0.164215834650964,0.9497382439344442,0.3587592416936847,54.54361111111112,0.48470734126984105,27,0.9285714285714285,57.40409722222222,8,2,1,6,0.0,274.01444444444445,4.487952923,1964.0,57.4,263200.0,158136.0,-105064.0
PORT_OF_VIRGINIA,2022-02-26,13.568191137566137,18,6.215077711640211,10,38,39,21.522276785714283,1.0263157894736843,234.065,45.5625,59.888333333333335,160.30972222222223,86.49771604938272,9,6,3,45457.88888888889,0.6666666666666666,2.1831088470791427,279.0475,245.90472222222223,234.1797222222222,68.25866666666667,67.84412878787879,121.34513888888888,14.928291997354497,12.474358465608464,18.257671957671956,10,22,8,4.513412698412698,6.27351025132275,5.324103835978835,0.9333333333333333,1.0,0.8,203.28998015873017,79.27581575701333,167.01798611111113,83.79076341295394,15.321151443216175,2.4797182714919495,13.26422187972411,3.944753261531756,12.285714285714286,5.798193478924934,12.142857142857142,5.946514858388815,1.0382915383098912,0.13302106757689994,0.918669068279521,0.2652130171763494,-44.982500000000016,-1.3601008597883606,17,0.9642857142857142,-0.028680555555553156,8,2,1,6,326.1463888888889,324.3569444444444,4.487952923,1964.0,57.4,263200.0,158136.0,-105064.0
HOUSTON,2022-02-27,7.722546296296295,11,1.4599421296296295,2,23,24,10.695497685185183,1.0434782608695652,0.0,0.0,0.0,142.67583333333334,142.67583333333334,1,0,1,32837.0,0.0,5.289624937568872,47.1975,59.88666666666666,29.3275,23.59875,21.536256613756613,7.709594017094018,5.709730489417989,5.490901124338624,3.1056101190476193,2,21,13,2.781114417989418,1.51119708994709,3.58401951058201,0.9642857142857143,0.9418604651162791,1.2093023255813953,56.849642857142854,98.29782686944077,61.4174007936508,74.52025935115783,5.199917032785336,1.4790246661876152,3.9014045375094484,1.746570165098504,11.821428571428571,6.923141929781171,9.464285714285714,5.6951790959604525,0.9807369608354463,0.096484975342825,0.9480432979295604,0.14355053234820234,-47.1975,2.012815806878306,0,0.25,-7.331875,8,2,1,7,0.0,27.6825,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-27,8.124069113756613,11,3.90083167989418,6,12,16,12.61890873015873,1.3333333333333333,263.6063888888889,0.0,87.8687962962963,134.00972222222222,82.88212962962963,3,1,2,25035.333333333332,0.3333333333333333,2.0826505167167326,209.06277777777777,142.46333333333334,0.0,56.81638888888889,18.275,0.0,7.653850859788358,6.901335978835978,5.3404150132275126,9,9,2,2.6184242724867723,3.2826421957671954,2.091921296296296,0.7647058823529411,0.95,1.4285714285714286,182.7912996031746,64.48126586944139,133.88783234126984,75.46197404121139,6.883566468253968,0.8928115474937364,5.8057069928665905,1.6774170764109768,7.25,2.4888640871780128,7.089285714285714,2.9373877430885345,0.939213958310597,0.15557177970615285,0.9646191963153966,0.3426069838985104,54.54361111111112,0.47021825396825534,28,0.9642857142857142,65.90159722222222,8,2,1,7,67.83361111111111,274.01444444444445,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
PORT_OF_VIRGINIA,2022-02-27,14.013763227513225,18,6.109107142857142,10,37,36,21.452470238095238,0.972972972972973,326.1463888888889,47.62722222222222,86.5141388888889,160.30972222222223,87.27213888888889,10,7,3,51700.0,0.7,2.2939134802862844,279.0475,245.90472222222223,234.1797222222222,68.25866666666667,71.0748015873016,153.06944444444443,14.754254298941799,12.381177248677247,18.69681878306878,10,21,5,4.661094576719576,6.157549603174602,5.274250992063491,0.9375,1.0769230769230769,0.96,203.28588293650796,79.27416309702652,170.83057043650794,81.84025446693882,15.153669985355252,2.431943203209687,13.48030142786281,3.603483097907297,12.321428571428571,5.773846342543383,12.25,5.831731381767416,1.0463742450768083,0.12461580015273986,0.9330278819804398,0.24803191597631385,47.098888888888894,-0.7404910714285737,18,0.9642857142857142,22.991666666666674,8,2,1,7,244.29972222222221,198.33583333333334,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
HOUSTON,2022-02-28,7.332850529100528,11,1.4608349867724866,2,23,27,10.29388392857143,1.173913043478261,0.0,0.0,0.0,142.67583333333334,142.67583333333334,1,0,1,32837.0,0.0,5.019629592320657,47.1975,59.88666666666666,29.3275,23.59875,23.803230994152045,5.064563492063492,6.400924272486772,5.413845899470899,2.737529761904762,2,19,14,2.519662698412698,1.8229679232804232,3.3948974867724866,0.84,0.9875,1.069767441860465,55.802232142857136,98.75712638583785,59.76346726190476,74.84226901983271,5.364807610544218,1.4941754159081666,4.021941609977324,1.773474953520965,11.392857142857142,7.212844950165797,9.392857142857142,5.776688486505902,0.9748146728100237,0.08650941920503626,0.9577482668736599,0.13048595460801735,-47.1975,0.9319262566137567,0,0.25,-7.331875,9,2,1,1,0.0,27.6825,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
LOS_ANGELES_LONG_BEACH,2022-02-28,8.098161375661375,11,3.56765873015873,6,11,13,12.179249338624338,1.1818181818181819,0.0,0.0,0.0,111.64083333333333,75.42583333333333,3,0,3,30237.666666666668,0.0,2.2698811708655433,263.6063888888889,142.46333333333334,202.34527777777777,86.10598765432098,16.447499999999998,96.07605555555556,7.6785681216931225,7.049173280423279,5.085262896825396,9,10,5,3.0188740079365077,3.3153257275132275,1.7201636904761906,0.8333333333333334,0.95,1.0,192.2058134920635,55.41032192104609,136.04189484126985,77.42238827840112,6.982982686130007,0.8692872013988833,5.929992943357898,1.5824025962928014,7.285714285714286,2.416871912466575,7.071428571428571,2.9594664313760273,0.9358125977663793,0.1451697642575697,0.9812858629820632,0.3373014492143452,-263.6063888888889,0.41959325396825253,0,1.0,-50.58631944444444,9,2,1,1,67.83361111111111,299.45694444444445,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
PORT_OF_VIRGINIA,2022-02-28,14.343745039682538,18,5.800950727513228,10,37,34,21.496152447089948,0.918918918918919,326.1463888888889,45.5625,79.43878787878788,160.30972222222223,85.96911616161616,11,8,3,51056.454545454544,0.7272727272727273,2.4726541757460274,279.0475,245.90472222222223,234.1797222222222,49.55646464646464,81.35490740740741,134.79805555555555,14.79417824074074,12.190319113756612,19.108103505291005,11,21,6,4.893976521164021,6.089257605820105,5.217195767195767,0.9354838709677419,1.048780487804878,0.8846153846153846,206.57040674603175,82.4434300211321,176.28746527777778,81.82628941285958,14.98641800122827,2.338483386003684,13.679271069538926,3.3020658259453364,12.5,5.614135598515459,12.357142857142858,5.731661892675461,1.046837565540129,0.12430650028862045,0.9447633016105963,0.23341304619371592,47.098888888888894,-0.4504332010582015,19,0.9642857142857142,22.991666666666674,9,2,1,1,324.3569444444444,198.33583333333334,4.487952923,2076.0,57.4,263200.0,158136.0,-105064.0
HOUSTON,2022-03-01,6.843407738095237,11,1.4617278439153438,2,21,25,9.615520833333333,1.1904761904761905,0.0,0.0,0.0,142.67583333333334,142.67583333333334,1,0,1,32837.0,0.0,4.681724964453489,0.0,59.88666666666666,0.0,0.0,29.379934640522873,4.492876984126984,6.896640211640212,5.556119378306878,2.45150958994709,1,17,14,2.233055555555555,2.2757589285714284,3.193976521164021,0.875,0.8461538461538461,1.0909090909090908,54.754821428571425,99.20283188461825,58.10953373015873,75.12583407502957,5.528926209372637,1.4465226645491234,4.128565375803099,1.7900558419970711,10.928571428571429,7.453204985123146,9.321428571428571,5.8561766703887255,0.9785341585820878,0.09275645415722206,0.9679967140786288,0.12426685434727558,0.0,-0.05323247354497429,0,0.25,0.0,9,3,1,2,0.0,77.72305555555556,4.487952923,2076.0,58.1,263200.0,158136.0,-105064.0
